"from","to","n"
"Afghanistan","Brazil",74
"Afghanistan","Cameroon",5
"Afghanistan","Central African Republic",4
"Afghanistan","Colombia",13
"Afghanistan","Congo",63
"Afghanistan","Eritrea",821
"Afghanistan","Ethiopia",67
"Afghanistan","Ghana",79
"Afghanistan","Ivory Coast (Cote d'Ivoire)",6
"Afghanistan","Kenya",98
"Afghanistan","Mali",3
"Afghanistan","Mauritania",6
"Afghanistan","Niger",4
"Afghanistan","Nigeria",16
"Afghanistan","Panama",27
"Afghanistan","Rwanda",19
"Afghanistan","Senegal",66
"Afghanistan","Somalia",22
"Afghanistan","South Sudan",55
"Afghanistan","Sudan",1733
"Afghanistan","Tanzania",553
"Afghanistan","Uganda",354
"Afghanistan","Zambia",29
"Bahrain","Angola",46
"Bahrain","Argentina",119
"Bahrain","Benin",8
"Bahrain","Bolivia",6
"Bahrain","Brazil",938
"Bahrain","Burkina Faso",15
"Bahrain","Burundi",10
"Bahrain","Cameroon",107
"Bahrain","Chad",28
"Bahrain","Colombia",186
"Bahrain","Congo",8
"Bahrain","Ecuador",26
"Bahrain","Eritrea",134
"Bahrain","Ethiopia",6602
"Bahrain","Gabon",33
"Bahrain","Gambia",2
"Bahrain","Ghana",647
"Bahrain","Ivory Coast (Cote d'Ivoire)",81
"Bahrain","Kenya",3144
"Bahrain","Liberia",2
"Bahrain","Mali",23
"Bahrain","Mauritania",50
"Bahrain","Niger",4
"Bahrain","Nigeria",570
"Bahrain","Panama",335
"Bahrain","Peru",49
"Bahrain","Rwanda",4
"Bahrain","Senegal",73
"Bahrain","Sierra Leone",22
"Bahrain","Somalia",74
"Bahrain","South Sudan",37
"Bahrain","Sudan",21226
"Bahrain","Tanzania",534
"Bahrain","Togo",15
"Bahrain","Trinidad and Tobago",97
"Bahrain","Uganda",330
"Bahrain","Venezuela",73
"Bahrain","Zambia",54
"Bangladesh","Angola",48
"Bangladesh","Argentina",368
"Bangladesh","Benin",46
"Bangladesh","Bolivia",3
"Bangladesh","Brazil",1178
"Bangladesh","Burkina Faso",25
"Bangladesh","Burundi",9
"Bangladesh","Cameroon",87
"Bangladesh","Chad",201
"Bangladesh","Colombia",365
"Bangladesh","Congo",50
"Bangladesh","Democratic Republic of the Congo",50
"Bangladesh","Eritrea",864
"Bangladesh","Ethiopia",863
"Bangladesh","Gabon",16
"Bangladesh","Gambia",58
"Bangladesh","Ghana",151
"Bangladesh","Guinea",15
"Bangladesh","Ivory Coast (Cote d'Ivoire)",207
"Bangladesh","Kenya",1024
"Bangladesh","Liberia",210
"Bangladesh","Mali",219
"Bangladesh","Mauritania",35
"Bangladesh","Niger",2
"Bangladesh","Nigeria",999
"Bangladesh","Panama",169
"Bangladesh","Paraguay",24
"Bangladesh","Peru",67
"Bangladesh","Rwanda",49
"Bangladesh","Senegal",97
"Bangladesh","Sierra Leone",35
"Bangladesh","Somalia",203
"Bangladesh","South Sudan",551
"Bangladesh","Sudan",4495
"Bangladesh","Tanzania",378
"Bangladesh","Togo",7
"Bangladesh","Trinidad and Tobago",9
"Bangladesh","Uganda",963
"Bangladesh","Venezuela",22
"Bangladesh","Zambia",258
"Brunei Darussalam","Nigeria",9
"Brunei Darussalam","Panama",16
"Brunei Darussalam","Peru",5
"Brunei Darussalam","Sudan",52
"Brunei Darussalam","Trinidad and Tobago",4
"Cambodia","Angola",19
"Cambodia","Argentina",58
"Cambodia","Benin",7
"Cambodia","Bolivia",6
"Cambodia","Brazil",136
"Cambodia","Burkina Faso",13
"Cambodia","Cameroon",17
"Cambodia","Chad",2
"Cambodia","Colombia",42
"Cambodia","Congo",2
"Cambodia","Democratic Republic of the Congo",4
"Cambodia","Ecuador",31
"Cambodia","Ethiopia",70
"Cambodia","Gabon",2
"Cambodia","Ghana",34
"Cambodia","Guinea",6
"Cambodia","Ivory Coast (Cote d'Ivoire)",14
"Cambodia","Kenya",206
"Cambodia","Mali",15
"Cambodia","Niger",2
"Cambodia","Nigeria",1168
"Cambodia","Panama",3
"Cambodia","Peru",18
"Cambodia","Rwanda",11
"Cambodia","Senegal",20
"Cambodia","Sierra Leone",12
"Cambodia","South Sudan",13
"Cambodia","Sudan",24
"Cambodia","Suriname",4
"Cambodia","Tanzania",128
"Cambodia","Togo",2
"Cambodia","Uganda",162
"Cambodia","Zambia",76
"China","Angola",22736
"China","Argentina",34933
"China","Benin",3505
"China","Bolivia",5095
"China","Brazil",94667
"China","Burkina Faso",2154
"China","Burundi",1354
"China","Cameroon",13216
"China","Central African Republic",859
"China","Chad",5539
"China","Colombia",12305
"China","Congo",9979
"China","Democratic Republic of the Congo",17862
"China","Ecuador",13939
"China","Equatorial Guinea",10482
"China","Eritrea",999
"China","Ethiopia",73735
"China","French Guiana",4
"China","Gabon",9088
"China","Gambia",583
"China","Ghana",33569
"China","Guinea",8310
"China","Guinea Bissau",110
"China","Guyana",8
"China","Ivory Coast (Cote d'Ivoire)",10922
"China","Kenya",66038
"China","Liberia",2669
"China","Mali",6221
"China","Mauritania",4249
"China","Niger",5202
"China","Nigeria",78413
"China","Panama",17760
"China","Paraguay",327
"China","Peru",18984
"China","Rwanda",4655
"China","Sao Tome and Principe",44
"China","Senegal",10463
"China","Sierra Leone",4925
"China","Somalia",218
"China","South Sudan",4253
"China","Sudan",15586
"China","Suriname",1330
"China","Tanzania",31636
"China","Togo",5278
"China","Trinidad and Tobago",136
"China","Uganda",27280
"China","Venezuela",22460
"China","Zambia",27197
"Cyprus","Angola",100
"Cyprus","Argentina",322
"Cyprus","Benin",4
"Cyprus","Bolivia",14
"Cyprus","Brazil",630
"Cyprus","Burkina Faso",6
"Cyprus","Cameroon",256
"Cyprus","Chad",6
"Cyprus","Colombia",28
"Cyprus","Congo",14
"Cyprus","Democratic Republic of the Congo",53
"Cyprus","Ecuador",18
"Cyprus","Ethiopia",188
"Cyprus","Gabon",2
"Cyprus","Gambia",5
"Cyprus","Ghana",302
"Cyprus","Guinea",3
"Cyprus","Ivory Coast (Cote d'Ivoire)",47
"Cyprus","Kenya",1203
"Cyprus","Mali",30
"Cyprus","Nigeria",2307
"Cyprus","Panama",22
"Cyprus","Peru",40
"Cyprus","Rwanda",59
"Cyprus","Senegal",58
"Cyprus","Somalia",13
"Cyprus","South Sudan",28
"Cyprus","Sudan",235
"Cyprus","Tanzania",261
"Cyprus","Togo",8
"Cyprus","Trinidad and Tobago",9
"Cyprus","Uganda",276
"Cyprus","Venezuela",43
"Cyprus","Zambia",310
"East Timor","Angola",3
"Fiji","Angola",2
"Fiji","Argentina",151
"Fiji","Brazil",60
"Fiji","Burkina Faso",2
"Fiji","Cameroon",6
"Fiji","Colombia",4
"Fiji","Ethiopia",9
"Fiji","Ghana",13
"Fiji","Guyana",3
"Fiji","Kenya",58
"Fiji","Mali",4
"Fiji","Nigeria",84
"Fiji","Peru",21
"Fiji","Sudan",2
"Fiji","Tanzania",3
"Fiji","Togo",4
"Fiji","Uganda",11
"Fiji","Zambia",10
"Hong Kong","Angola",1519
"Hong Kong","Argentina",7753
"Hong Kong","Benin",428
"Hong Kong","Bolivia",382
"Hong Kong","Brazil",23466
"Hong Kong","Burkina Faso",356
"Hong Kong","Burundi",94
"Hong Kong","Cameroon",2019
"Hong Kong","Central African Republic",47
"Hong Kong","Chad",216
"Hong Kong","Colombia",4894
"Hong Kong","Congo",1371
"Hong Kong","Democratic Republic of the Congo",2056
"Hong Kong","Ecuador",1687
"Hong Kong","Equatorial Guinea",379
"Hong Kong","Eritrea",71
"Hong Kong","Ethiopia",8354
"Hong Kong","French Guiana",12
"Hong Kong","Gabon",1165
"Hong Kong","Gambia",25
"Hong Kong","Ghana",4537
"Hong Kong","Guinea",544
"Hong Kong","Guinea Bissau",2
"Hong Kong","Guyana",2
"Hong Kong","Ivory Coast (Cote d'Ivoire)",1768
"Hong Kong","Kenya",8969
"Hong Kong","Liberia",111
"Hong Kong","Mali",1452
"Hong Kong","Mauritania",538
"Hong Kong","Niger",207
"Hong Kong","Nigeria",7389
"Hong Kong","Panama",2054
"Hong Kong","Paraguay",97
"Hong Kong","Peru",6887
"Hong Kong","Rwanda",778
"Hong Kong","Senegal",1868
"Hong Kong","Sierra Leone",142
"Hong Kong","Somalia",70
"Hong Kong","South Sudan",108
"Hong Kong","Sudan",837
"Hong Kong","Suriname",321
"Hong Kong","Tanzania",6962
"Hong Kong","Togo",1343
"Hong Kong","Trinidad and Tobago",80
"Hong Kong","Uganda",4175
"Hong Kong","Venezuela",1683
"Hong Kong","Zambia",5742
"India","Angola",6470
"India","Argentina",7854
"India","Benin",2919
"India","Bolivia",279
"India","Brazil",29618
"India","Burkina Faso",1701
"India","Burundi",546
"India","Cameroon",2529
"India","Central African Republic",360
"India","Chad",1074
"India","Colombia",4863
"India","Congo",3569
"India","Democratic Republic of the Congo",7958
"India","Ecuador",2378
"India","Equatorial Guinea",388
"India","Eritrea",934
"India","Ethiopia",37113
"India","Gabon",3428
"India","Gambia",352
"India","Ghana",13681
"India","Guinea",876
"India","Guinea Bissau",126
"India","Guyana",159
"India","Ivory Coast (Cote d'Ivoire)",9615
"India","Kenya",113473
"India","Liberia",1522
"India","Mali",2327
"India","Mauritania",964
"India","Niger",1384
"India","Nigeria",59206
"India","Panama",3906
"India","Paraguay",159
"India","Peru",2755
"India","Rwanda",4647
"India","Senegal",5491
"India","Sierra Leone",1460
"India","Somalia",864
"India","South Sudan",3474
"India","Sudan",10772
"India","Suriname",440
"India","Tanzania",62505
"India","Togo",2691
"India","Trinidad and Tobago",1031
"India","Uganda",49218
"India","Venezuela",457
"India","Zambia",26363
"Indonesia","Angola",617
"Indonesia","Argentina",1008
"Indonesia","Benin",42
"Indonesia","Bolivia",14
"Indonesia","Brazil",6987
"Indonesia","Burkina Faso",128
"Indonesia","Burundi",11
"Indonesia","Cameroon",204
"Indonesia","Central African Republic",18
"Indonesia","Chad",41
"Indonesia","Colombia",385
"Indonesia","Congo",117
"Indonesia","Democratic Republic of the Congo",62
"Indonesia","Ecuador",313
"Indonesia","Equatorial Guinea",94
"Indonesia","Eritrea",273
"Indonesia","Ethiopia",491
"Indonesia","Gabon",1060
"Indonesia","Ghana",687
"Indonesia","Guinea",969
"Indonesia","Guinea Bissau",2
"Indonesia","Guyana",29
"Indonesia","Ivory Coast (Cote d'Ivoire)",248
"Indonesia","Kenya",1736
"Indonesia","Liberia",183
"Indonesia","Mali",383
"Indonesia","Mauritania",37
"Indonesia","Niger",24
"Indonesia","Nigeria",5448
"Indonesia","Panama",321
"Indonesia","Paraguay",9
"Indonesia","Peru",1509
"Indonesia","Rwanda",82
"Indonesia","Senegal",454
"Indonesia","Sierra Leone",18
"Indonesia","Somalia",11
"Indonesia","South Sudan",98
"Indonesia","Sudan",1050
"Indonesia","Suriname",79
"Indonesia","Tanzania",967
"Indonesia","Togo",12
"Indonesia","Trinidad and Tobago",17
"Indonesia","Uganda",584
"Indonesia","Venezuela",151
"Indonesia","Zambia",294
"Iran","Angola",82
"Iran","Argentina",111
"Iran","Benin",8
"Iran","Bolivia",2
"Iran","Brazil",902
"Iran","Burkina Faso",2
"Iran","Burundi",24
"Iran","Cameroon",51
"Iran","Chad",16
"Iran","Colombia",51
"Iran","Congo",88
"Iran","Democratic Republic of the Congo",119
"Iran","Ecuador",34
"Iran","Eritrea",1649
"Iran","Ethiopia",256
"Iran","French Guiana",22
"Iran","Gabon",43
"Iran","Ghana",192
"Iran","Guinea",2
"Iran","Ivory Coast (Cote d'Ivoire)",147
"Iran","Kenya",575
"Iran","Mali",9
"Iran","Mauritania",20
"Iran","Niger",8
"Iran","Nigeria",355
"Iran","Panama",8
"Iran","Paraguay",3
"Iran","Peru",9
"Iran","Rwanda",82
"Iran","Senegal",137
"Iran","Sierra Leone",21
"Iran","Somalia",178
"Iran","South Sudan",122
"Iran","Sudan",3687
"Iran","Tanzania",1391
"Iran","Togo",2
"Iran","Trinidad and Tobago",27
"Iran","Uganda",637
"Iran","Venezuela",45
"Iran","Zambia",55
"Iraq","Argentina",32
"Iraq","Benin",2
"Iraq","Brazil",344
"Iraq","Burkina Faso",5
"Iraq","Cameroon",31
"Iraq","Chad",23
"Iraq","Colombia",67
"Iraq","Congo",45
"Iraq","Democratic Republic of the Congo",19
"Iraq","Eritrea",653
"Iraq","Ethiopia",330
"Iraq","Ghana",125
"Iraq","Ivory Coast (Cote d'Ivoire)",73
"Iraq","Kenya",1455
"Iraq","Mali",22
"Iraq","Mauritania",30
"Iraq","Niger",15
"Iraq","Nigeria",184
"Iraq","Panama",17
"Iraq","Peru",4
"Iraq","Rwanda",40
"Iraq","Senegal",22
"Iraq","Sierra Leone",2
"Iraq","Somalia",175
"Iraq","South Sudan",56
"Iraq","Sudan",5419
"Iraq","Tanzania",883
"Iraq","Togo",1
"Iraq","Trinidad and Tobago",2
"Iraq","Uganda",1126
"Iraq","Venezuela",7
"Iraq","Zambia",35
"Japan","Angola",791
"Japan","Argentina",14262
"Japan","Benin",797
"Japan","Bolivia",5198
"Japan","Brazil",79505
"Japan","Burkina Faso",768
"Japan","Burundi",6
"Japan","Cameroon",991
"Japan","Central African Republic",11
"Japan","Chad",49
"Japan","Colombia",6349
"Japan","Congo",106
"Japan","Democratic Republic of the Congo",807
"Japan","Ecuador",2763
"Japan","Equatorial Guinea",8
"Japan","Eritrea",78
"Japan","Ethiopia",2529
"Japan","French Guiana",39
"Japan","Gabon",378
"Japan","Gambia",2
"Japan","Ghana",2493
"Japan","Guinea",247
"Japan","Guinea Bissau",4
"Japan","Guyana",15
"Japan","Ivory Coast (Cote d'Ivoire)",1787
"Japan","Kenya",9143
"Japan","Liberia",10
"Japan","Mali",351
"Japan","Mauritania",310
"Japan","Niger",138
"Japan","Nigeria",2832
"Japan","Panama",2221
"Japan","Paraguay",1190
"Japan","Peru",26612
"Japan","Rwanda",861
"Japan","Senegal",2213
"Japan","Sierra Leone",89
"Japan","Somalia",6
"Japan","South Sudan",223
"Japan","Sudan",2197
"Japan","Suriname",2
"Japan","Tanzania",3991
"Japan","Togo",119
"Japan","Trinidad and Tobago",559
"Japan","Uganda",2533
"Japan","Venezuela",1291
"Japan","Zambia",1493
"Jordan","Angola",90
"Jordan","Argentina",253
"Jordan","Benin",50
"Jordan","Bolivia",15
"Jordan","Brazil",2413
"Jordan","Burkina Faso",49
"Jordan","Burundi",7
"Jordan","Cameroon",94
"Jordan","Central African Republic",117
"Jordan","Chad",366
"Jordan","Colombia",196
"Jordan","Congo",30
"Jordan","Democratic Republic of the Congo",46
"Jordan","Ecuador",22
"Jordan","Equatorial Guinea",53
"Jordan","Eritrea",73
"Jordan","Ethiopia",1565
"Jordan","Gabon",28
"Jordan","Gambia",2
"Jordan","Ghana",1062
"Jordan","Guinea",10
"Jordan","Guinea Bissau",2
"Jordan","Ivory Coast (Cote d'Ivoire)",360
"Jordan","Kenya",5872
"Jordan","Liberia",4
"Jordan","Mali",132
"Jordan","Mauritania",271
"Jordan","Niger",306
"Jordan","Nigeria",1201
"Jordan","Panama",152
"Jordan","Paraguay",2
"Jordan","Peru",56
"Jordan","Rwanda",79
"Jordan","Senegal",517
"Jordan","Sierra Leone",6
"Jordan","Somalia",170
"Jordan","South Sudan",133
"Jordan","Sudan",18719
"Jordan","Tanzania",682
"Jordan","Togo",31
"Jordan","Uganda",1256
"Jordan","Venezuela",244
"Jordan","Zambia",188
"Kazakhstan","Angola",4
"Kazakhstan","Argentina",106
"Kazakhstan","Brazil",725
"Kazakhstan","Burkina Faso",10
"Kazakhstan","Burundi",11
"Kazakhstan","Cameroon",75
"Kazakhstan","Chad",17
"Kazakhstan","Colombia",173
"Kazakhstan","Congo",4
"Kazakhstan","Democratic Republic of the Congo",9
"Kazakhstan","Ecuador",19
"Kazakhstan","Eritrea",390
"Kazakhstan","Ethiopia",36
"Kazakhstan","Gabon",97
"Kazakhstan","Gambia",1
"Kazakhstan","Ghana",100
"Kazakhstan","Ivory Coast (Cote d'Ivoire)",39
"Kazakhstan","Kenya",119
"Kazakhstan","Liberia",4
"Kazakhstan","Nigeria",178
"Kazakhstan","Panama",38
"Kazakhstan","Peru",93
"Kazakhstan","Rwanda",29
"Kazakhstan","Senegal",25
"Kazakhstan","South Sudan",17
"Kazakhstan","Sudan",1070
"Kazakhstan","Tanzania",317
"Kazakhstan","Togo",15
"Kazakhstan","Uganda",287
"Kazakhstan","Venezuela",27
"Kuwait","Angola",13
"Kuwait","Argentina",173
"Kuwait","Benin",336
"Kuwait","Bolivia",4
"Kuwait","Brazil",753
"Kuwait","Burkina Faso",170
"Kuwait","Burundi",2
"Kuwait","Cameroon",1367
"Kuwait","Central African Republic",3
"Kuwait","Chad",117
"Kuwait","Colombia",130
"Kuwait","Congo",49
"Kuwait","Democratic Republic of the Congo",42
"Kuwait","Ecuador",89
"Kuwait","Equatorial Guinea",155
"Kuwait","Eritrea",487
"Kuwait","Ethiopia",20084
"Kuwait","Gabon",32
"Kuwait","Gambia",23
"Kuwait","Ghana",5306
"Kuwait","Guinea",31
"Kuwait","Guinea Bissau",7
"Kuwait","Ivory Coast (Cote d'Ivoire)",806
"Kuwait","Kenya",1265
"Kuwait","Liberia",4
"Kuwait","Mali",466
"Kuwait","Mauritania",269
"Kuwait","Niger",170
"Kuwait","Nigeria",963
"Kuwait","Panama",172
"Kuwait","Paraguay",24
"Kuwait","Peru",19
"Kuwait","Rwanda",37
"Kuwait","Senegal",466
"Kuwait","Sierra Leone",213
"Kuwait","Somalia",558
"Kuwait","South Sudan",43
"Kuwait","Sudan",15795
"Kuwait","Suriname",2
"Kuwait","Tanzania",2589
"Kuwait","Togo",243
"Kuwait","Trinidad and Tobago",60
"Kuwait","Uganda",876
"Kuwait","Venezuela",163
"Kuwait","Zambia",67
"Kyrgyzstan","Argentina",37
"Kyrgyzstan","Benin",3
"Kyrgyzstan","Brazil",16
"Kyrgyzstan","Colombia",2
"Kyrgyzstan","Eritrea",4
"Kyrgyzstan","Ethiopia",16
"Kyrgyzstan","Gabon",44
"Kyrgyzstan","Ghana",4
"Kyrgyzstan","Ivory Coast (Cote d'Ivoire)",10
"Kyrgyzstan","Kenya",14
"Kyrgyzstan","Liberia",3
"Kyrgyzstan","Mali",8
"Kyrgyzstan","Nigeria",6
"Kyrgyzstan","Rwanda",8
"Kyrgyzstan","Senegal",8
"Kyrgyzstan","South Sudan",45
"Kyrgyzstan","Sudan",743
"Kyrgyzstan","Tanzania",301
"Kyrgyzstan","Uganda",8
"Laos","Benin",5
"Laos","Brazil",42
"Laos","Cameroon",6
"Laos","Colombia",25
"Laos","Democratic Republic of the Congo",2
"Laos","Ethiopia",16
"Laos","Gambia",2
"Laos","Ghana",4
"Laos","Ivory Coast (Cote d'Ivoire)",3
"Laos","Kenya",10
"Laos","Mali",7
"Laos","Nigeria",4
"Laos","Panama",11
"Laos","Peru",4
"Laos","Rwanda",6
"Laos","Sudan",5
"Laos","Tanzania",9
"Laos","Uganda",22
"Laos","Zambia",3
"Lebanon","Angola",1612
"Lebanon","Argentina",985
"Lebanon","Benin",2728
"Lebanon","Bolivia",195
"Lebanon","Brazil",13775
"Lebanon","Burkina Faso",1896
"Lebanon","Burundi",180
"Lebanon","Cameroon",3243
"Lebanon","Central African Republic",136
"Lebanon","Chad",663
"Lebanon","Colombia",1622
"Lebanon","Congo",8543
"Lebanon","Democratic Republic of the Congo",4795
"Lebanon","Ecuador",272
"Lebanon","Equatorial Guinea",2340
"Lebanon","Eritrea",191
"Lebanon","Ethiopia",46333
"Lebanon","French Guiana",5
"Lebanon","Gabon",4047
"Lebanon","Gambia",529
"Lebanon","Ghana",10511
"Lebanon","Guinea",1251
"Lebanon","Guinea Bissau",160
"Lebanon","Ivory Coast (Cote d'Ivoire)",15552
"Lebanon","Kenya",12299
"Lebanon","Liberia",2851
"Lebanon","Mali",1361
"Lebanon","Mauritania",1547
"Lebanon","Niger",518
"Lebanon","Nigeria",15724
"Lebanon","Panama",1400
"Lebanon","Paraguay",192
"Lebanon","Peru",126
"Lebanon","Rwanda",221
"Lebanon","Sao Tome and Principe",3
"Lebanon","Senegal",3757
"Lebanon","Sierra Leone",1996
"Lebanon","Somalia",286
"Lebanon","South Sudan",1339
"Lebanon","Sudan",20246
"Lebanon","Tanzania",2662
"Lebanon","Togo",1899
"Lebanon","Trinidad and Tobago",29
"Lebanon","Uganda",1744
"Lebanon","Venezuela",6903
"Lebanon","Zambia",2738
"Macau","Angola",26
"Macau","Brazil",24
"Macau","Ethiopia",6
"Macau","Ghana",8
"Macau","Kenya",4
"Macau","Panama",13
"Macau","Senegal",4
"Macau","Uganda",4
"Malaysia","Angola",777
"Malaysia","Argentina",1484
"Malaysia","Benin",30
"Malaysia","Bolivia",25
"Malaysia","Brazil",5977
"Malaysia","Burkina Faso",70
"Malaysia","Burundi",12
"Malaysia","Cameroon",416
"Malaysia","Chad",130
"Malaysia","Colombia",583
"Malaysia","Congo",1178
"Malaysia","Democratic Republic of the Congo",101
"Malaysia","Ecuador",318
"Malaysia","Equatorial Guinea",571
"Malaysia","Eritrea",3
"Malaysia","Ethiopia",864
"Malaysia","Gabon",4629
"Malaysia","Gambia",8
"Malaysia","Ghana",1536
"Malaysia","Guinea",138
"Malaysia","Guinea Bissau",8
"Malaysia","Guyana",1
"Malaysia","Ivory Coast (Cote d'Ivoire)",979
"Malaysia","Kenya",5286
"Malaysia","Liberia",692
"Malaysia","Mali",55
"Malaysia","Mauritania",74
"Malaysia","Niger",33
"Malaysia","Nigeria",13894
"Malaysia","Panama",320
"Malaysia","Paraguay",17
"Malaysia","Peru",1074
"Malaysia","Rwanda",175
"Malaysia","Senegal",750
"Malaysia","Sierra Leone",29
"Malaysia","Somalia",222
"Malaysia","South Sudan",379
"Malaysia","Sudan",3987
"Malaysia","Suriname",260
"Malaysia","Tanzania",1991
"Malaysia","Togo",94
"Malaysia","Trinidad and Tobago",119
"Malaysia","Uganda",1077
"Malaysia","Venezuela",138
"Malaysia","Zambia",727
"Maldives","Angola",4
"Maldives","Argentina",240
"Maldives","Benin",4
"Maldives","Brazil",1397
"Maldives","Burkina Faso",3
"Maldives","Eritrea",11
"Maldives","Ethiopia",4
"Maldives","Gabon",12
"Maldives","Ghana",23
"Maldives","Ivory Coast (Cote d'Ivoire)",15
"Maldives","Kenya",268
"Maldives","Mauritania",8
"Maldives","Nigeria",205
"Maldives","Panama",108
"Maldives","Senegal",15
"Maldives","Sudan",119
"Maldives","Tanzania",94
"Maldives","Uganda",21
"Maldives","Zambia",16
"Marshall Islands","Argentina",4
"Marshall Islands","Kenya",3
"Micronesia","Argentina",2
"Micronesia","Brazil",12
"Micronesia","Cameroon",3
"Micronesia","Kenya",5
"Mongolia","Argentina",5
"Mongolia","Brazil",81
"Mongolia","Burkina Faso",15
"Mongolia","Chad",4
"Mongolia","Colombia",28
"Mongolia","Congo",29
"Mongolia","Ecuador",10
"Mongolia","Ethiopia",6
"Mongolia","Ghana",8
"Mongolia","Kenya",31
"Mongolia","Mauritania",9
"Mongolia","Nigeria",21
"Mongolia","Panama",4
"Mongolia","Peru",18
"Mongolia","Rwanda",17
"Mongolia","Sudan",4
"Mongolia","Suriname",5
"Mongolia","Tanzania",7
"Mongolia","Uganda",8
"Mongolia","Zambia",1
"Myanmar","Angola",34
"Myanmar","Argentina",13
"Myanmar","Brazil",117
"Myanmar","Burkina Faso",6
"Myanmar","Colombia",33
"Myanmar","Congo",3
"Myanmar","Ecuador",7
"Myanmar","Ethiopia",29
"Myanmar","Gabon",2
"Myanmar","Ghana",73
"Myanmar","Ivory Coast (Cote d'Ivoire)",42
"Myanmar","Kenya",249
"Myanmar","Nigeria",42
"Myanmar","Panama",4
"Myanmar","Peru",8
"Myanmar","Rwanda",4
"Myanmar","Senegal",30
"Myanmar","South Sudan",18
"Myanmar","Sudan",39
"Myanmar","Tanzania",119
"Myanmar","Togo",7
"Myanmar","Uganda",26
"Myanmar","Zambia",15
"Nepal","Angola",18
"Nepal","Argentina",221
"Nepal","Benin",4
"Nepal","Bolivia",8
"Nepal","Brazil",472
"Nepal","Burundi",7
"Nepal","Cameroon",6
"Nepal","Colombia",17
"Nepal","Congo",2
"Nepal","Ecuador",2
"Nepal","Equatorial Guinea",5
"Nepal","Eritrea",18
"Nepal","Ethiopia",168
"Nepal","Gambia",2
"Nepal","Ghana",203
"Nepal","Ivory Coast (Cote d'Ivoire)",47
"Nepal","Kenya",617
"Nepal","Liberia",9
"Nepal","Mali",39
"Nepal","Mauritania",9
"Nepal","Niger",10
"Nepal","Nigeria",147
"Nepal","Paraguay",6
"Nepal","Peru",13
"Nepal","Rwanda",79
"Nepal","Senegal",164
"Nepal","Somalia",4
"Nepal","South Sudan",70
"Nepal","Sudan",402
"Nepal","Tanzania",332
"Nepal","Togo",2
"Nepal","Uganda",419
"Nepal","Zambia",108
"Oman","Angola",31
"Oman","Argentina",135
"Oman","Benin",33
"Oman","Bolivia",5
"Oman","Brazil",1028
"Oman","Burkina Faso",17
"Oman","Burundi",1490
"Oman","Cameroon",193
"Oman","Central African Republic",5
"Oman","Chad",38
"Oman","Colombia",164
"Oman","Congo",7
"Oman","Democratic Republic of the Congo",87
"Oman","Ecuador",191
"Oman","Equatorial Guinea",27
"Oman","Eritrea",38
"Oman","Ethiopia",13553
"Oman","Gabon",72
"Oman","Gambia",10
"Oman","Ghana",463
"Oman","Guinea",13
"Oman","Ivory Coast (Cote d'Ivoire)",82
"Oman","Kenya",6774
"Oman","Mali",57
"Oman","Mauritania",103
"Oman","Niger",8
"Oman","Nigeria",1660
"Oman","Panama",163
"Oman","Peru",86
"Oman","Rwanda",1229
"Oman","Senegal",207
"Oman","Sierra Leone",34
"Oman","Somalia",207
"Oman","South Sudan",70
"Oman","Sudan",12083
"Oman","Tanzania",44592
"Oman","Togo",30
"Oman","Trinidad and Tobago",50
"Oman","Uganda",4568
"Oman","Venezuela",91
"Oman","Zambia",96
"Pakistan","Angola",385
"Pakistan","Argentina",154
"Pakistan","Benin",163
"Pakistan","Bolivia",24
"Pakistan","Brazil",2192
"Pakistan","Burkina Faso",147
"Pakistan","Burundi",23
"Pakistan","Cameroon",181
"Pakistan","Central African Republic",14
"Pakistan","Chad",15
"Pakistan","Colombia",55
"Pakistan","Congo",157
"Pakistan","Democratic Republic of the Congo",817
"Pakistan","Ecuador",33
"Pakistan","Eritrea",1533
"Pakistan","Ethiopia",1113
"Pakistan","Gabon",94
"Pakistan","Gambia",39
"Pakistan","Ghana",582
"Pakistan","Guinea",76
"Pakistan","Guinea Bissau",14
"Pakistan","Guyana",11
"Pakistan","Ivory Coast (Cote d'Ivoire)",712
"Pakistan","Kenya",6083
"Pakistan","Liberia",300
"Pakistan","Mali",261
"Pakistan","Mauritania",317
"Pakistan","Niger",83
"Pakistan","Nigeria",3245
"Pakistan","Panama",78
"Pakistan","Paraguay",4
"Pakistan","Peru",45
"Pakistan","Rwanda",214
"Pakistan","Senegal",372
"Pakistan","Sierra Leone",157
"Pakistan","Somalia",605
"Pakistan","South Sudan",1511
"Pakistan","Sudan",7238
"Pakistan","Suriname",8
"Pakistan","Tanzania",5773
"Pakistan","Togo",115
"Pakistan","Trinidad and Tobago",14
"Pakistan","Uganda",3854
"Pakistan","Venezuela",2
"Pakistan","Zambia",796
"Palau","Argentina",15
"Palau","Brazil",2
"Papua New Guinea","Angola",4
"Papua New Guinea","Bolivia",2
"Papua New Guinea","Colombia",6
"Papua New Guinea","Ethiopia",11
"Papua New Guinea","Ghana",13
"Papua New Guinea","Kenya",48
"Papua New Guinea","Nigeria",25
"Papua New Guinea","Peru",43
"Papua New Guinea","Sierra Leone",2
"Papua New Guinea","Tanzania",45
"Papua New Guinea","Uganda",43
"Philippines","Angola",4314
"Philippines","Argentina",2047
"Philippines","Benin",221
